Red,Green,Blue
0.596,0.211,0.193
0.596,0.211,0.193
0.593,0.220,0.186
0.600,0.217,0.183
0.600,0.217,0.183
0.597,0.210,0.194
0.590,0.213,0.197
0.597,0.210,0.194
0.590,0.213,0.197
0.593,0.220,0.186
0.600,0.217,0.183
0.590,0.213,0.197
0.600,0.217,0.183
0.583,0.217,0.200
0.590,0.213,0.197
0.590,0.213,0.197
0.593,0.220,0.186
0.600,0.217,0.183
0.593,0.220,0.186
0.600,0.217,0.183
0.600,0.217,0.183
0.590,0.213,0.197
0.593,0.220,0.186
0.596,0.211,0.193
0.593,0.220,0.186
0.586,0.224,0.190
0.593,0.220,0.186
0.586,0.224,0.190
0.586,0.224,0.190
0.593,0.220,0.186
0.586,0.224,0.190
0.579,0.228,0.193
0.579,0.228,0.193
0.586,0.224,0.190
0.593,0.220,0.186
0.586,0.224,0.190
0.600,0.217,0.183
0.600,0.217,0.183
0.587,0.222,0.190
0.587,0.222,0.190
0.597,0.226,0.177
0.594,0.219,0.187
0.597,0.226,0.177
0.594,0.219,0.187
0.600,0.215,0.185
0.609,0.203,0.187
0.615,0.200,0.185
0.615,0.200,0.185
0.612,0.209,0.179
0.614,0.200,0.186
0.612,0.209,0.179
0.612,0.209,0.179
0.621,0.197,0.182
0.620,0.197,0.183
0.623,0.188,0.188
0.618,0.197,0.184
0.630,0.192,0.178
0.634,0.183,0.183
0.618,0.197,0.184
0.622,0.203,0.176
0.611,0.208,0.181
0.609,0.203,0.188
0.606,0.212,0.182
0.600,0.215,0.185
0.597,0.210,0.194
0.597,0.210,0.194
0.600,0.217,0.183
0.590,0.213,0.197
0.600,0.217,0.183
0.597,0.210,0.194
0.597,0.210,0.194
0.603,0.206,0.190
0.609,0.203,0.187
0.609,0.203,0.187
0.606,0.212,0.182
0.606,0.212,0.182
0.603,0.221,0.176
0.592,0.225,0.183
0.594,0.219,0.187
0.594,0.219,0.187
0.594,0.219,0.187
0.587,0.222,0.190
0.581,0.226,0.194
0.586,0.224,0.190
0.581,0.226,0.194
0.587,0.222,0.190
0.585,0.231,0.185
0.581,0.226,0.194
0.576,0.227,0.197
0.581,0.226,0.194
0.581,0.226,0.194
0.590,0.230,0.180
0.574,0.230,0.197
0.581,0.226,0.194
0.590,0.230,0.180
0.567,0.239,0.194
0.591,0.227,0.182
0.588,0.235,0.176
0.588,0.235,0.176
0.588,0.235,0.176
0.589,0.233,0.178
0.586,0.229,0.186
0.586,0.229,0.186
0.597,0.210,0.194
0.593,0.220,0.186
0.593,0.220,0.186
0.586,0.224,0.190
0.586,0.224,0.190
0.589,0.214,0.196
0.586,0.224,0.190
0.586,0.224,0.190
0.586,0.224,0.190
0.593,0.220,0.186
0.607,0.213,0.180
0.600,0.215,0.185
0.606,0.212,0.182
0.603,0.206,0.191
0.612,0.209,0.179
0.611,0.208,0.181
0.620,0.197,0.183
0.615,0.205,0.179
0.615,0.205,0.179
0.605,0.211,0.184
0.605,0.211,0.184
0.600,0.215,0.185
0.596,0.211,0.193
0.588,0.216,0.196
0.574,0.234,0.191
0.568,0.257,0.176
0.582,0.241,0.177
0.590,0.241,0.169
0.589,0.233,0.178
0.598,0.230,0.172
