aX,aY,aZ,gX,gY,gZ
0.538,-1.846,1.148,1.892,172.302,52.551
-0.288,-1.146,0.371,-48.767,145.630,120.300
-1.132,-0.320,-0.153,-74.402,109.436,160.828
-1.733,0.310,-0.286,-64.697,89.539,167.480
-1.924,0.662,-0.134,-39.734,62.256,139.221
-1.766,0.680,0.104,-22.095,11.780,90.332
-1.437,0.534,0.361,-10.376,-39.001,42.175
-1.122,0.347,0.674,6.287,-68.054,6.897
-0.834,0.122,1.013,24.353,-71.716,-19.043
-0.522,-0.097,1.294,38.452,-63.721,-35.339
-0.234,-0.339,1.469,44.678,-51.575,-39.307
0.009,-0.564,1.587,36.194,-39.063,-37.476
0.252,-0.706,1.617,28.015,-25.452,-31.738
0.458,-0.736,1.597,19.348,-8.057,-16.357
0.524,-0.729,1.516,8.423,11.108,5.554
0.502,-0.685,1.403,-0.854,31.494,26.123
0.428,-0.614,1.293,-6.409,44.983,41.992
0.280,-0.485,1.211,-11.108,44.189,53.528
0.157,-0.351,1.098,-19.043,30.640,61.096
0.020,-0.169,1.004,-25.757,14.282,63.599
-0.091,-0.058,0.975,-26.733,5.798,63.049
-0.151,-0.030,0.992,-24.902,5.737,58.472
-0.144,-0.066,1.002,-23.560,6.897,49.988
-0.070,-0.121,1.017,-24.231,3.540,40.710
0.009,-0.150,1.018,-27.405,-2.991,34.973
0.069,-0.192,1.019,-30.090,-6.958,33.020
0.141,-0.234,1.022,-29.968,-6.104,33.936
0.157,-0.268,1.033,-29.358,-3.723,36.621
0.144,-0.281,1.042,-29.846,-0.977,39.001
0.109,-0.247,1.026,-28.381,0.549,39.246
0.069,-0.203,1.031,-25.452,0.000,38.635
0.024,-0.165,1.053,-22.888,-1.221,37.659
-0.000,-0.152,1.079,-21.484,-1.221,35.278
-0.016,-0.144,1.100,-20.691,0.732,32.532
-0.030,-0.152,1.103,-19.470,4.639,29.175
-0.028,-0.171,1.097,-18.677,8.423,25.024
-0.011,-0.190,1.089,-18.799,10.315,21.667
0.014,-0.186,1.070,-18.311,9.521,21.667
0.026,-0.180,1.068,-17.151,8.484,24.414
0.036,-0.180,1.069,-16.174,8.423,26.733
0.038,-0.166,1.053,-16.602,8.240,28.320
0.032,-0.143,1.030,-17.639,7.568,29.663
0.018,-0.113,1.001,-17.334,6.470,30.334
0.007,-0.077,0.982,-17.090,4.700,31.128
-0.008,-0.042,0.984,-18.127,2.014,32.471
-0.031,-0.024,0.982,-19.348,-0.916,34.546
-0.055,-0.009,1.001,-19.470,-2.441,36.255
-0.079,0.025,1.011,-18.799,-2.991,36.377
-0.099,0.051,1.013,-17.395,-2.258,35.095
-0.112,0.069,1.020,-14.832,0.000,33.020
-0.111,0.078,1.024,-12.573,2.075,30.640
-0.104,0.083,1.019,-11.841,3.357,27.954
-0.095,0.069,1.001,-12.756,1.709,25.330
-0.086,0.060,0.993,-13.916,-1.465,22.827
-0.065,0.054,0.987,-13.000,-3.479,20.630
-0.043,0.046,0.983,-11.658,-3.906,19.592
-0.026,0.026,0.980,-11.292,-3.052,19.226
-0.005,0.020,0.979,-11.292,-0.793,19.104
0.004,0.020,0.975,-11.902,0.793,19.958
0.005,0.015,0.967,-13.245,1.831,21.301
0.008,0.011,0.952,-13.916,2.258,22.522
0.003,0.015,0.933,-13.855,2.258,23.132
-0.008,0.024,0.926,-11.658,3.784,22.888
-0.020,0.029,0.938,-7.935,7.202,22.644
-0.032,0.030,0.967,-4.395,10.498,22.461
-0.031,0.043,0.987,-2.136,11.902,21.667
-0.037,0.055,0.997,-2.197,10.925,20.081
-0.039,0.041,1.006,-3.906,9.216,18.433
-0.032,0.026,1.009,-5.615,6.042,16.907
-0.024,0.021,1.010,-7.874,2.808,15.076
-0.015,0.024,1.011,-8.484,1.099,14.160
-0.007,0.018,1.009,-8.301,1.831,13.916
-0.002,0.001,1.003,-8.423,3.418,14.038
0.003,-0.001,0.991,-7.935,4.639,14.587
0.001,0.005,0.993,-6.287,6.714,14.893
-0.006,0.013,1.005,-3.967,9.460,15.503
-0.006,0.021,1.019,-1.892,12.390,15.625
-0.004,0.029,1.030,-1.709,13.855,15.320
-0.009,0.036,1.029,-3.357,12.573,15.198
-0.016,0.039,1.025,-4.456,10.498,15.076
-0.025,0.043,1.014,-4.700,8.728,14.282
-0.022,0.054,1.005,-4.578,7.629,12.695
-0.026,0.063,1.006,-3.601,7.446,11.902
-0.031,0.066,1.005,-2.930,6.226,10.986
-0.033,0.064,1.013,-2.380,4.456,9.094
-0.024,0.055,1.019,-2.014,2.563,6.958
-0.013,0.044,1.023,-2.075,0.793,5.188
-0.001,0.031,1.031,-0.916,-0.366,3.662
0.012,0.030,1.053,-0.061,0.305,3.296
0.021,0.032,1.066,0.549,2.014,3.967
0.020,0.030,1.069,-0.061,3.113,5.432
0.017,0.027,1.074,-0.916,4.211,6.409
0.020,0.030,1.069,-0.916,5.737,7.019
0.023,0.028,1.064,-0.671,7.080,7.263

0.492,1.761,1.181,5.005,-59.570,14.343
0.601,2.116,1.403,22.339,-64.392,15.503
0.688,2.427,1.618,39.368,-67.078,14.587
0.737,2.663,1.817,50.293,-66.284,13.672
0.754,2.807,1.958,52.307,-56.702,14.893
0.765,2.885,1.994,41.565,-34.912,21.606
0.669,2.853,1.979,22.339,-7.507,33.081
0.486,2.788,1.869,-2.319,16.235,48.828
0.149,2.760,1.671,-24.475,34.546,65.552
-0.266,2.760,1.437,-43.091,53.955,81.360
-0.799,2.648,1.100,-61.707,75.500,90.332
-1.495,2.298,0.600,-85.266,95.093,86.670
-2.310,1.649,-0.027,-97.290,109.680,51.392
-2.949,0.760,-0.655,-72.998,121.521,-25.696
-3.171,-0.354,-0.977,-9.888,125.488,-122.620
-3.113,-1.892,-1.089,60.791,103.333,-221.680
-2.771,-3.622,-1.113,104.004,45.105,-313.049
-2.044,-4.000,-0.840,132.202,-33.752,-388.306
-1.139,-4.000,-0.424,172.119,-104.797,-439.209
-0.583,-4.000,0.308,214.294,-136.169,-438.843
0.170,-4.000,1.284,244.385,-137.573,-411.499
1.245,-4.000,2.339,235.474,-154.907,-365.845
2.245,-3.904,2.932,179.321,-168.152,-280.334
2.652,-2.816,2.596,101.868,-108.826,-173.584
2.348,-2.514,1.857,30.090,24.353,-58.228
1.518,-2.236,1.226,-13.000,145.691,58.350
0.330,-1.682,0.886,-31.433,191.650,149.841
-0.803,-0.939,0.649,-51.697,160.645,200.439
-1.621,-0.108,0.245,-76.904,92.041,209.534
-1.944,0.417,-0.027,-79.041,39.978,183.350
-1.812,0.614,-0.008,-50.293,12.024,132.996
-1.491,0.635,0.243,-16.846,-12.085,81.482
-1.165,0.607,0.541,5.859,-36.499,42.175
-0.887,0.518,0.846,21.301,-50.537,12.390
-0.555,0.350,1.117,32.593,-50.720,-11.047
-0.224,0.160,1.333,37.903,-44.373,-24.963
0.058,-0.079,1.473,35.522,-36.926,-30.273
0.323,-0.345,1.569,28.503,-28.442,-31.128
0.529,-0.507,1.618,18.799,-21.301,-26.245
0.638,-0.571,1.590,7.751,-14.526,-15.564
0.639,-0.544,1.473,-2.075,-5.920,-3.418
0.576,-0.494,1.329,-8.606,7.385,6.836
0.501,-0.431,1.190,-11.780,19.958,15.503
0.430,-0.368,1.058,-14.282,24.170,21.729
0.363,-0.330,0.968,-17.151,19.409,24.353
0.292,-0.291,0.919,-17.395,10.925,24.292
0.241,-0.250,0.892,-16.479,3.052,23.987
0.168,-0.223,0.876,-16.296,-3.723,23.804
0.119,-0.211,0.874,-15.320,-8.118,23.071
0.076,-0.213,0.885,-14.587,-9.888,21.912
0.065,-0.230,0.899,-13.733,-9.155,19.775
0.065,-0.264,0.916,-12.268,-5.920,18.005
0.066,-0.280,0.931,-10.437,-2.136,17.517
0.070,-0.285,0.937,-9.033,1.160,17.395
