aX,aY,aZ,gX,gY,gZ
0.310,0.818,-0.324,-52.551,9.216,-1.465
0.318,0.809,-0.335,-54.321,6.287,-0.671
0.318,0.796,-0.353,-55.786,5.066,0.183
0.318,0.793,-0.363,-55.298,8.240,0.366
0.314,0.794,-0.380,-53.040,13.672,1.160
0.305,0.798,-0.390,-51.208,19.287,1.160
0.296,0.801,-0.393,-49.500,24.353,0.000
0.294,0.799,-0.399,-47.424,26.917,-0.916
0.293,0.799,-0.400,-46.570,25.940,-1.587
0.303,0.794,-0.412,-47.302,20.935,-2.075
0.309,0.789,-0.412,-48.401,15.137,-2.197
0.314,0.786,-0.407,-47.852,11.230,-2.197
0.320,0.789,-0.410,-46.265,11.536,-2.319
0.324,0.775,-0.406,-45.166,16.785,-2.502
0.335,0.769,-0.396,-44.495,21.667,-2.197
0.329,0.769,-0.407,-45.532,22.827,-0.854
0.314,0.771,-0.432,-48.401,20.813,1.221
0.305,0.766,-0.461,-50.598,18.311,2.136
0.298,0.758,-0.476,-50.659,16.296,1.892
0.300,0.756,-0.480,-49.194,13.855,0.549
0.313,0.755,-0.479,-48.584,10.498,-0.427
0.317,0.751,-0.482,-48.706,7.996,-0.732
0.315,0.746,-0.480,-48.523,8.545,-0.916
0.323,0.736,-0.469,-46.814,11.719,-1.465
0.326,0.728,-0.466,-46.265,15.503,-0.977
0.322,0.721,-0.474,-47.729,16.357,0.732
0.307,0.723,-0.486,-49.561,14.160,1.648
0.300,0.719,-0.499,-50.537,10.742,1.404
0.297,0.710,-0.513,-51.025,8.057,0.977
0.298,0.700,-0.534,-51.636,6.531,0.427

-0.035,0.614,2.151,72.754,-174.377,-17.212
-0.012,0.641,2.176,44.128,-160.583,-14.038
-0.015,0.625,2.131,18.677,-124.512,-10.376
0.031,0.607,2.012,1.587,-74.097,-10.437
0.082,0.564,1.825,-8.179,-20.325,-10.315
0.114,0.545,1.636,-13.123,26.611,-7.935
0.126,0.559,1.446,-19.409,62.744,-7.019
0.129,0.545,1.265,-29.419,85.388,-6.042
0.149,0.548,1.052,-42.297,92.651,-3.113
0.177,0.549,0.787,-56.458,84.900,0.854
0.208,0.556,0.556,-68.359,68.909,5.188
0.219,0.591,0.412,-74.280,55.237,7.080
0.233,0.625,0.312,-70.313,46.143,7.568
0.253,0.667,0.264,-59.631,42.664,7.568
0.254,0.714,0.287,-47.302,43.884,6.042
0.261,0.759,0.371,-36.499,47.424,3.052
0.270,0.787,0.464,-29.419,48.401,0.671
0.263,0.807,0.530,-27.039,45.349,0.061
0.264,0.816,0.546,-29.602,36.560,1.099
0.277,0.814,0.536,-35.767,26.184,2.502
0.295,0.811,0.542,-41.443,18.433,3.845
0.313,0.819,0.560,-42.908,16.724,4.150
0.328,0.827,0.584,-40.039,21.362,2.930
0.343,0.828,0.625,-36.316,29.419,0.977
0.355,0.830,0.660,-33.875,36.438,-0.549
0.362,0.830,0.689,-33.936,40.466,-0.366
0.355,0.823,0.719,-36.499,41.565,0.000
0.336,0.818,0.736,-40.039,38.757,0.183
0.323,0.809,0.717,-45.105,30.273,0.854
0.315,0.797,0.694,-51.575,20.325,0.854
0.310,0.784,0.678,-56.030,16.968,-0.488
0.322,0.767,0.652,-57.495,20.325,-1.343
0.325,0.760,0.614,-58.228,27.832,-1.526
0.324,0.750,0.573,-59.387,36.804,-1.709
0.332,0.741,0.529,-60.425,42.908,-1.404
0.325,0.739,0.487,-61.584,46.448,-0.793
0.298,0.742,0.457,-61.096,49.805,-0.488
0.286,0.746,0.414,-60.547,46.326,0.183
0.280,0.750,0.369,-63.232,33.081,0.793
0.287,0.752,0.347,-67.993,17.578,0.549
0.290,0.759,0.322,-71.350,4.639,0.854
0.307,0.766,0.305,-72.083,-2.258,0.732
0.313,0.780,0.320,-70.068,-1.038,-0.488
0.325,0.790,0.322,-66.040,4.883,-1.831
0.345,0.793,0.326,-63.232,11.475,-2.197
0.353,0.797,0.322,-62.927,18.616,-2.197
0.343,0.808,0.300,-63.232,25.269,-1.038
0.332,0.812,0.285,-62.805,29.907,0.488
0.321,0.824,0.265,-62.378,32.410,1.038
0.308,0.832,0.237,-63.477,30.457,2.258
0.300,0.833,0.212,-65.369,24.414,2.747
0.303,0.829,0.193,-66.528,16.785,1.831
0.314,0.835,0.183,-66.528,9.888,1.526
0.324,0.842,0.172,-66.406,5.432,1.282
0.329,0.851,0.167,-66.467,7.629,0.305
0.332,0.843,0.148,-64.392,14.648,-0.549
0.340,0.844,0.139,-61.707,22.949,-1.465
0.341,0.849,0.124,-59.204,31.433,-2.136
0.335,0.845,0.103,-58.533,37.903,-2.014
0.318,0.842,0.074,-59.387,38.513,-1.343
0.312,0.841,0.041,-61.157,31.433,-0.061
0.309,0.853,0.010,-63.416,20.203,0.793
0.300,0.860,-0.010,-65.369,9.521,0.366
0.301,0.862,-0.023,-64.819,2.930,-1.343
0.314,0.861,-0.029,-62.195,1.404,-3.174
0.330,0.865,-0.028,-58.472,3.418,-5.066
0.344,0.870,-0.028,-54.932,6.592,-7.080
0.347,0.872,-0.031,-52.002,11.658,-8.911
0.357,0.861,-0.027,-48.523,16.846,-10.071
0.372,0.865,-0.027,-45.959,21.057,-10.193
0.369,0.867,-0.035,-45.532,23.315,-8.667
0.376,0.869,-0.044,-46.326,22.949,-6.958
0.370,0.875,-0.065,-47.302,22.034,-5.920
0.363,0.873,-0.080,-46.997,22.583,-5.554
0.373,0.869,-0.086,-45.410,22.095,-6.042
0.378,0.867,-0.086,-44.739,19.409,-5.859
0.381,0.872,-0.085,-45.166,15.137,-5.188
0.377,0.873,-0.091,-45.959,11.658,-4.761
0.381,0.867,-0.103,-46.021,9.644,-4.578
0.391,0.862,-0.104,-45.288,10.559,-5.005
0.405,0.858,-0.109,-43.518,16.113,-5.310
0.404,0.853,-0.118,-41.870,24.902,-3.723
0.394,0.854,-0.126,-39.673,31.616,-2.625
0.389,0.852,-0.131,-38.147,34.607,-2.502
0.384,0.849,-0.145,-38.757,32.104,-2.197
0.379,0.846,-0.157,-41.382,24.658,-1.465
0.369,0.851,-0.167,-43.518,15.320,-0.916
0.364,0.855,-0.171,-44.067,7.263,-1.038
0.365,0.855,-0.169,-43.823,0.977,-1.831
0.361,0.858,-0.159,-43.213,-1.221,-2.747
0.371,0.849,-0.158,-41.077,-0.122,-4.456
0.387,0.841,-0.158,-39.124,4.089,-5.920
0.390,0.833,-0.168,-37.781,11.597,-5.798
0.389,0.833,-0.176,-36.560,19.592,-4.150
0.383,0.834,-0.193,-36.011,23.804,-2.502
0.373,0.843,-0.218,-37.964,22.949,-1.648
0.365,0.841,-0.249,-40.588,19.775,-0.732
0.362,0.843,-0.272,-41.565,17.517,-1.343
0.368,0.840,-0.282,-39.368,18.311,-2.197
0.370,0.841,-0.272,-36.133,19.592,-2.625
0.373,0.849,-0.263,-34.241,17.822,-3.235
0.370,0.849,-0.265,-35.217,11.658,-3.479
0.372,0.849,-0.267,-37.720,3.418,-3.906
0.381,0.843,-0.262,-38.879,-3.662,-4.578
0.387,0.840,-0.256,-38.086,-5.249,-5.249
0.406,0.832,-0.244,-36.072,-0.305,-6.104
0.421,0.818,-0.249,-35.034,6.165,-5.493
0.423,0.820,-0.255,-35.339,12.390,-3.662
0.415,0.820,-0.274,-35.217,18.127,-2.380
0.419,0.811,-0.283,-34.058,22.400,-2.197
0.419,0.815,-0.291,-33.569,24.109,-1.831
0.412,0.814,-0.305,-33.813,23.132,-1.038
0.410,0.812,-0.318,-35.034,21.484,-0.854
0.407,0.804,-0.330,-35.583,20.081,-0.671
0.397,0.800,-0.327,-34.729,18.311,-0.610
0.397,0.802,-0.319,-33.203,15.625,-1.038
0.399,0.799,-0.315,-33.813,11.353,-0.549
0.398,0.799,-0.326,-36.499,6.653,0.793
0.387,0.794,-0.344,-38.940,2.869,1.831

-0.047,0.398,2.607,111.511,-155.762,-20.813
-0.054,0.444,2.769,83.496,-166.748,-21.118
-0.008,0.487,2.728,57.861,-145.691,-19.836
0.024,0.495,2.483,33.020,-102.356,-17.334
0.060,0.484,2.175,7.996,-44.800,-15.198
0.065,0.442,1.866,-9.949,5.066,-12.268
0.082,0.441,1.562,-20.325,37.476,-9.094
0.086,0.455,1.288,-28.381,55.908,-7.751
0.124,0.477,1.088,-37.231,67.444,-6.775
0.160,0.481,0.936,-43.884,71.899,-5.249
0.188,0.492,0.823,-49.622,70.557,-3.418
0.202,0.520,0.767,-53.040,65.491,-2.197
0.216,0.554,0.756,-54.749,57.190,-1.160
0.222,0.587,0.792,-58.350,47.241,-0.488
0.216,0.622,0.832,-63.538,39.185,-0.488
0.233,0.631,0.854,-68.054,34.302,0.610
0.252,0.636,0.857,-72.937,32.288,1.770
0.257,0.653,0.809,-78.430,33.813,3.845
0.252,0.666,0.737,-82.214,39.368,7.141
0.242,0.681,0.684,-82.703,49.072,7.935
0.243,0.708,0.611,-80.872,58.838,6.348
0.242,0.729,0.517,-79.102,62.378,5.737
0.243,0.743,0.442,-78.491,59.082,4.822
0.249,0.760,0.445,-78.552,54.749,2.319
0.269,0.769,0.469,-77.087,47.241,-1.282
0.291,0.776,0.501,-75.867,38.330,-3.357
0.313,0.776,0.517,-77.087,30.518,-5.432
0.341,0.758,0.506,-79.956,22.888,-6.653
0.360,0.751,0.500,-83.252,19.287,-7.019
0.369,0.743,0.492,-83.984,22.339,-6.653
0.382,0.741,0.474,-82.825,30.701,-6.470
0.386,0.730,0.437,-81.360,41.016,-5.920
0.375,0.729,0.417,-80.627,50.598,-4.761
0.351,0.731,0.381,-80.933,54.565,-3.052
0.333,0.732,0.337,-83.374,49.072,-2.197
0.320,0.731,0.286,-86.426,34.729,-2.014
0.315,0.736,0.256,-90.088,16.357,-3.357
0.330,0.738,0.232,-92.102,1.526,-7.202
0.361,0.739,0.197,-92.102,-3.357,-9.521
0.392,0.727,0.153,-89.783,1.465,-10.437
0.414,0.724,0.129,-85.022,14.954,-9.766
0.415,0.743,0.103,-78.247,31.250,-8.057
0.406,0.774,0.083,-72.754,43.762,-6.287
0.389,0.786,0.063,-69.946,50.354,-4.578
0.371,0.800,0.057,-68.909,49.988,-4.028
0.360,0.815,0.034,-68.665,39.734,-4.150
0.362,0.820,0.023,-69.885,23.132,-5.737
0.369,0.827,0.032,-72.693,5.859,-7.507
0.390,0.826,0.044,-74.097,-6.226,-9.277
0.431,0.818,0.032,-73.730,-9.216,-9.766
0.449,0.801,0.011,-72.021,-2.075,-8.667
0.444,0.801,-0.000,-67.749,11.841,-6.470
0.438,0.814,-0.014,-61.462,25.452,-4.517
0.420,0.828,-0.030,-58.472,33.997,-2.686
