aX,aY,aZ,gX,gY,gZ
-0.193,-0.016,1.124,63.538,-117.737,6.042
-0.182,-0.023,1.183,60.059,-104.919,3.784
-0.176,-0.028,1.243,53.101,-92.102,5.859
-0.160,-0.025,1.263,44.373,-80.933,9.644
-0.164,-0.023,1.247,33.752,-71.411,13.428
-0.198,-0.052,1.221,23.254,-62.012,15.930
-0.211,-0.053,1.151,17.456,-55.115,13.977
-0.197,-0.052,1.087,15.137,-52.856,8.362
-0.186,-0.067,1.059,12.146,-54.260,4.639
-0.185,-0.079,1.076,9.399,-54.626,4.944
-0.188,-0.078,1.115,9.888,-47.974,6.592
-0.186,-0.073,1.159,13.123,-33.813,8.118
-0.161,-0.069,1.185,13.000,-18.555,8.789
-0.152,-0.071,1.175,6.348,-10.864,8.972
-0.144,-0.073,1.138,-4.150,-10.803,9.888
-0.146,-0.089,1.094,-14.587,-13.733,11.597
-0.162,-0.093,1.044,-20.325,-14.404,12.329
-0.164,-0.089,1.003,-18.982,-11.108,10.864
-0.158,-0.092,0.973,-13.794,-6.470,9.216
-0.153,-0.065,0.964,-9.216,-3.418,8.789
-0.158,-0.036,0.963,-6.592,-2.258,8.911
-0.166,-0.011,0.964,-6.470,-1.831,7.935
-0.169,0.004,0.947,-8.606,-2.197,6.226
-0.171,0.010,0.944,-11.475,-2.319,5.066
-0.179,0.020,0.955,-12.451,-0.427,4.883
-0.172,0.037,0.977,-9.827,5.554,4.211
-0.148,0.041,0.971,-7.019,13.245,3.113
-0.134,0.025,0.956,-5.920,18.250,3.174
-0.133,0.019,0.941,-6.104,20.569,4.333
-0.126,0.015,0.928,-5.310,21.423,4.150
-0.114,0.006,0.917,-3.784,19.958,3.235
-0.107,-0.004,0.916,-3.174,15.564,2.502
-0.100,-0.006,0.931,-2.319,10.742,2.502
-0.096,-0.002,0.951,-1.221,6.836,3.479
-0.101,-0.011,0.966,-1.526,4.944,4.517
-0.099,-0.018,0.983,-1.526,5.798,5.310
-0.092,-0.020,0.988,0.427,7.507,6.653
-0.088,-0.027,0.991,1.709,8.240,8.057
-0.098,-0.028,0.999,1.648,6.287,8.667
-0.114,-0.023,1.012,1.282,2.380,8.484
-0.117,-0.023,1.021,-0.610,-3.662,7.996
-0.132,-0.024,1.029,-4.211,-11.169,7.263
-0.155,-0.022,1.046,-6.470,-15.564,7.019
-0.168,-0.019,1.066,-5.310,-13.489,6.775
-0.171,-0.022,1.078,-1.648,-6.836,5.737
-0.171,-0.031,1.080,1.648,-0.061,5.676
-0.173,-0.023,1.089,3.967,5.676,7.019
-0.182,-0.010,1.090,5.676,10.742,7.568
-0.179,-0.014,1.079,5.249,11.230,6.897
-0.181,-0.012,1.071,1.587,7.263,6.348
-0.188,-0.013,1.059,-2.319,1.648,5.798
-0.191,-0.019,1.055,-4.517,-1.892,5.554
-0.189,-0.020,1.055,-4.456,-2.075,5.249
-0.181,-0.017,1.057,-3.418,-0.549,5.249
-0.177,-0.021,1.055,-3.174,0.916,5.188
-0.175,-0.025,1.051,-3.662,1.709,5.249
-0.174,-0.025,1.036,-3.052,2.441,4.883
-0.175,-0.023,1.032,-1.465,4.822,4.150
-0.169,-0.016,1.032,0.427,6.958,3.174
-0.161,-0.018,1.030,0.549,6.775,2.686
-0.161,-0.016,1.035,-1.404,4.150,2.930
-0.161,-0.010,1.035,-2.930,1.648,3.052
-0.161,-0.007,1.037,-3.418,1.038,2.625
-0.154,-0.010,1.032,-3.418,1.282,2.014
-0.144,-0.018,1.027,-3.967,1.160,1.404
-0.131,-0.023,1.029,-4.333,0.244,1.526
-0.127,-0.019,1.028,-4.089,-0.183,2.380
-0.129,-0.018,1.029,-3.052,0.977,2.930
-0.123,-0.018,1.026,-1.648,3.296,3.357
-0.120,-0.015,1.024,-1.099,5.432,3.418
-0.119,-0.010,1.027,-1.343,6.104,3.723
-0.114,-0.006,1.024,-2.319,5.676,4.272
-0.115,-0.008,1.017,-4.517,4.211,4.517
-0.119,-0.013,1.012,-6.470,2.502,4.883
-0.127,-0.017,1.009,-6.897,1.465,5.737
-0.130,-0.011,1.003,-6.042,1.099,6.348
-0.127,-0.008,1.001,-4.456,1.892,6.409
-0.126,-0.003,1.004,-2.991,2.991,6.287
